Data,SIH_Sul_I_Old,SIH_Sul_J_Old,SIH_Sul_I_Kid,SIH_Sul_J_Kid,SIH_GV_I_Old,SIH_GV_J_Old,SIH_GV_I_Kid,SIH_GV_J_Kid,pm25.gv,pm10.gv,so2.gv,no2.gv,co.gv,o3.gv,co.sul,o3.sul,no2.sul,so2.sul,pm10.sul,pm25.sul
27/03/2015,1,0,0,2,13,5,0,13,13.5625,38.35727226,7.9025,24.21666667,461.860869,35.46983631,398.2544541,,15.32108333,18.0225,29.59989791,8.485
28/03/2015,1,0,0,3,12,7,0,11,20.16666667,36.47222222,5.091527778,25.80541667,493.1425,37.03583333,346.3033333,,12.8102803,6.673333333,29.79021286,14.28333333
29/03/2015,0,1,0,1,6,4,1,5,8.895833333,23.5,5.490277778,15.07772727,292.2303333,42.3725,270.7063333,,13.08050263,6.406,19.38087054,8.158291667
30/03/2015,2,0,0,0,12,11,1,22,8.5625,30.34722222,7.241868687,16.34541667,378.8627424,28.94120924,311.1868478,,16.27915,12.712,17.77982653,6.886693841
31/03/2015,0,1,0,2,5,9,0,21,11.97916667,37.20833333,9.997083333,13.63458333,426.3749058,26.55212409,221.5574369,,14.96461594,5.123913043,26.56546056,8.064094203
01/04/2015,4,1,0,4,21,11,0,24,15.8125,38.27777778,11.10446429,15.25291667,481.66375,38.45270833,302.2318954,,7.005886957,4.063458333,26.6925,8.587160326
02/04/2015,0,1,0,1,12,7,0,16,11.875,29.02222222,2.969302536,12.15041667,382.14975,31.30239583,220.2514583,,5.724925325,5.403238636,23.48047884,6.214609272
03/04/2015,0,0,0,0,13,4,0,15,9.458333333,20.72493961,3.7184375,10.15041667,252.672,41.5565625,199.9329287,,6.306730392,4.135625,18.69915865,3.647395833
04/04/2015,0,0,0,1,12,5,0,6,13.1875,25.4709596,2.83178442,10.7125,410.6033333,35.38239583,273.4651667,,7.104218182,6.353958333,18.81833333,6.570833333
05/04/2015,0,0,0,1,13,5,0,8,9.791666667,24.22385621,10.25927083,11.83375,381.7731667,32.59177083,228.6311616,,6.597487879,4.792291667,19.3653125,4.33875
06/04/2015,4,0,0,2,10,3,0,20,12.66666667,36.55646135,4.751748188,17.70833333,423.510413,27.02730525,333.120109,,11.80463768,7.202708333,29.1589375,7.03827381
07/04/2015,1,0,0,1,12,4,0,22,10.125,29.55799846,3.062481061,7.453636364,299.9439167,41.68729167,175.6475,,9.687433333,8.215333333,18.88472222,4.684808712
08/04/2015,2,0,0,0,11,5,0,19,11.72916667,35.35869565,3.501354167,8.902083333,351.239,33.26770833,239.5186111,,7.972967391,5.649809783,22.75396286,5.201254529
09/04/2015,2,0,0,1,13,4,1,15,9.666666667,25.00543478,3.600104167,6.812083333,390.8218864,28.19052083,225.0631643,,7.825094438,7.721815476,11.95631341,4.885558712
10/04/2015,1,0,0,4,10,6,0,29,11.85416667,33.17361111,8.490066288,7.44625,528.1231818,23.3707654,271.9261683,,7.16625,4.902083333,12.97016304,4.857745098
11/04/2015,2,1,0,3,5,4,0,17,10.52083333,24.61805556,3.9759375,6.225416667,486.18575,31.49197917,416.4423188,,6.111952469,8.57,13.64561111,3.750104167
12/04/2015,2,0,0,3,7,3,0,8,12.10416667,25.90277778,8.658125,6.09375,498.6659167,35.97760417,260.4906944,,6.236390399,9.027916667,12.37746732,4.139325932
13/04/2015,2,0,0,1,9,3,0,10,18.3125,28.70018116,5.411354167,6.61875,499.9435833,37.24395833,301.9213889,,9.040034722,4.391666667,17.3771627,6.341956522
14/04/2015,4,1,0,2,14,6,1,21,16.3740942,30.49849034,8.660208333,10.26458333,572.506,29.39416667,253.6226667,,7.015713141,3.36875,12.34142512,4.841217612
15/04/2015,1,1,0,4,10,2,0,30,9.25,28.57638889,7.243125,7.235833333,450.7597609,33.91671196,302.1335985,,9.9171875,7.535833333,21.56680556,6.000804218
16/04/2015,0,1,0,1,15,5,0,11,9.041666667,31.81186869,5.559533514,7.270833333,426.2736304,30.30873188,260.1016244,,10.69114583,8.056666667,17.77222222,4.326733631
17/04/2015,1,2,0,3,12,7,0,9,17.61458333,37.84722222,7.212427536,8.989583333,613.5564746,26.08691123,321.6313889,,8.73078869,4.484166667,22.23217593,7.751206922
18/04/2015,0,0,0,0,10,4,0,13,11.875,28.33278437,7.0353125,8.102083333,491.64175,28.1259375,262.2893056,,7.370451389,2.56,22.17397014,6.458813131
19/04/2015,1,0,0,2,2,2,0,5,11.41666667,27.85648148,7.041458333,6.910416667,318.7696667,37.44166667,326.7790152,,12.89908333,4.658695652,27.44262681,10.08384058
20/04/2015,1,2,0,6,11,8,1,18,11.41666667,31.74666306,8.5640625,9.45125,515.3930833,30.61604167,391.2581692,,10.44795833,4.78625,29.19311508,9.89965103
21/04/2015,1,1,0,1,8,3,0,13,11.25,29.01136364,10.43197917,5.984166667,424.6375833,31.91302083,312.3015278,,15.5590625,5.53,31.66342424,9.374814449
22/04/2015,1,2,0,1,3,2,0,16,12.11538462,31.16729798,7.007083333,10.6075,414.3453333,35.06916667,300.5606548,,7.6075,3.052916667,18.22642094,7.376616035
23/04/2015,1,0,0,2,11,3,0,11,10.77083333,29.0307971,6.047604167,8.20625,442.734,29.16020833,255.727037,,7.388643775,5.427083333,21.97125,5.282465278
24/04/2015,0,3,0,0,12,7,0,15,11.97916667,32.36503623,6.40352808,8.7775,445.0324239,28.76775568,243.5563889,,7.86091502,4.50875,19.55958333,6.498049517
25/04/2015,1,0,0,0,7,4,0,5,11.29166667,29.20910189,4.442291667,8.366666667,319.8234167,43.95791667,307.5039553,,11.45852536,5.995416667,16.9116712,6.8578125
26/04/2015,0,0,0,1,3,1,0,6,7.645833333,21.54012148,2.848125,4.445416667,189.5416667,51.56229167,268.0375,,7.783713474,8.225833333,20.1821875,5.427897727
27/04/2015,2,3,0,1,10,5,0,19,9.041666667,21.43745687,2.531875,7.542916667,444.7777065,24.6594067,234.5769957,,8.412375,5.489166667,11.8653008,4.45032598
28/04/2015,1,1,0,3,17,6,0,15,13.22916667,32.79861111,4.218645833,7.582916667,469.4533333,29.70739583,396.5308333,,10.07206522,3.105833333,16.23549004,5.431304825
29/04/2015,4,0,0,1,18,7,0,12,14.22916667,31.66757246,4.027916667,9.142083333,439.0856667,33.42114583,376.1754672,,9.290416667,2.31375,15.04668277,5.083645833
30/04/2015,1,2,0,1,15,3,1,9,10.85416667,32.65449134,4.913229167,8.300833333,393.5024167,37.1196875,315.9265519,,8.150950292,2.9775,13.1514293,4.231195175
01/05/2015,2,2,0,0,21,7,1,12,7.0625,19.69488362,5.670833333,4.766666667,266.2585,43.16760417,254.4805556,,5.016355769,5.51375,15.24972826,4.570104167
02/05/2015,1,2,0,1,8,2,0,5,7.958333333,20.68919082,6.968333333,6.253333333,386.1400833,40.173125,316.4559118,,7.857627717,2.347083333,13.19658816,4.415520833
03/05/2015,0,0,0,4,4,6,0,7,8.729166667,22.53354194,5.732395833,6.5075,328.9974167,34.07666667,363.6937778,,14.37567708,2.57625,15.82027778,5.607481884
04/05/2015,0,2,0,2,12,7,0,14,9.5625,31.375,4.6440625,6.897083333,380.8105833,33.5803125,351.1717157,,16.47487364,6.7025,24.00474206,8.468605072
05/05/2015,5,2,0,1,27,6,0,11,9.8125,25.75568182,4.898625,8.9575,354.3307319,35.4258288,385.3083333,,9.175854167,2.80125,19.63379133,7.120249094
06/05/2015,0,0,0,1,10,2,0,11,8.589244851,20.55128205,3.2811,8.57375,347.4288636,33.12104167,322.4001574,,5.639244318,5.75375,12.42805556,5.021690547
07/05/2015,1,1,0,4,10,3,0,11,13.41666667,25.95694444,4.50275,4.807916667,400.78725,30.0540625,362.9273214,,4.915236201,5.462083333,9.063981481,4.487035985
08/05/2015,0,0,0,0,8,6,0,12,11.25634058,21.22209596,2.907585498,,358.0740303,37.64241477,311.1918264,,7.691067904,5.950833333,17.22729167,6.303645833
09/05/2015,3,0,0,2,9,3,0,10,13.375,31.82391304,2.925333333,,487.05725,29.555,274.5568942,,7.840471126,5.11,16.5421558,6.767
10/05/2015,0,1,0,1,10,6,2,10,12.4375,24.80013736,4.833083333,,404.0985,29.76208333,384.0546875,,9.968640899,7.593478261,18.76641822,8.589895833
11/05/2015,2,0,0,3,12,7,0,8,11.64583333,32.92953996,3.09275,,435.87375,25.41291667,389.749375,,14.70818466,6.852916667,21.59930124,7.482674195
12/05/2015,3,0,0,2,19,9,0,14,12.64039855,29.4755993,5.22475,,454.04625,39.291875,394.9976042,,6.914509191,9.695416667,18.46979167,5.444305556
13/05/2015,1,0,0,2,16,6,0,7,12.08333333,31.86426768,3.432166667,,334.30325,40.21552083,311.3522588,,7.378055665,5.41875,21.2439881,4.922940821
14/05/2015,1,0,0,2,16,3,0,13,9.958333333,23.22644928,3.322833333,,405.30575,25.2909375,269.2291667,,6.594227328,11.2575,9.953218599,2.477291667
15/05/2015,0,1,0,3,12,4,0,10,10.3125,28.21179668,4.09925,,391.5414167,28.7846875,230.5546668,,7.982697917,4.71625,15.72871377,2.847708333
16/05/2015,0,3,0,3,8,8,0,9,8.9375,13.84203186,3.176333333,,400.7181667,21.38791667,269.648048,,7.9726875,3.8925,6.404375,4.324791667
17/05/2015,0,1,0,3,8,8,1,2,7.0625,10.57043651,3.139333333,,283.5991667,23.75802083,328.608125,,9.93575,4.458333333,7.110317029,5.505833333
18/05/2015,0,3,0,4,12,10,0,13,11.64583333,28.10047277,3.442333333,,505.65775,22.51625,275.92275,,9.608604167,4.882916667,14.50666667,4.816875
19/05/2015,0,1,0,4,8,10,0,19,12.47916667,20.34415459,4.134818182,15.47375,512.5740616,13.07847826,313.872402,,7.204729167,4.0675,7.88916996,3.005625
20/05/2015,2,0,0,2,10,7,0,7,13.14583333,34.68439441,4.8805,14.40916667,556.4102803,16.91822917,332.0793813,,8.159616667,4.380833333,9.848492063,3.370833333
21/05/2015,1,3,0,1,16,1,0,10,15.29166667,37.12434124,3.613325758,12.56083333,626.2875942,18.47813406,261.5325463,,7.042511594,2.60375,12.65585507,4.056875
22/05/2015,1,2,0,1,14,7,1,11,12.70833333,26.8839169,3.673125,14.85428571,660.0189167,17.1534375,291.1135516,,7.015508333,7.398333333,15.30308575,5.226041667
23/05/2015,2,2,0,1,8,7,0,7,12.70833333,26.59259259,5.534166667,13.4275,533.1025833,18.0765625,322.8813889,,9.02275,5.952916667,14.45722222,5.593541667
24/05/2015,0,1,0,0,9,6,2,5,9.354166667,19.64190821,6.971984848,11.65625,339.0640833,24.93729167,307.9740278,,11.63389583,2.965416667,16.49666667,5.14375
25/05/2015,1,0,0,0,8,11,0,16,10.83333333,33.12003968,6.533055556,15.2275,511.4276486,20.59748188,377.666142,,10.99643333,1.237916667,19.86355072,4.782645833
